IPA,"Ekalipi english transliteration",,English,Dutch,German,"Ekalîpî german transliteration",Spanish,French,Italian,Catalan,Russian,Swedish,Vietnamese,Korean,Greek,Croatian,Japanese,Portuguese,Finnish
i,e,,easy,"ziet, psychisch",Mikroskop,e,sí,vie,città,"pi, mil",один,-,ri,-,ήλιος,sin,ひと,amigo,minä
iː,E,,seen,-,Biene,E,-,dire,prima,-,-,sil,phicơ,-,-,-,ひいらぎ,-,siili
ɪ,e,,city,zit,Tisch,e,-,vite10,-,-,перо,sill,linh,-,-,-,-,-,-
e,,,-,"legen, zee6",Etage,e,él,année,fetta,"després, cec",шея,-,chê,-,μέλι,red,へび,eu,eläin
eː,,,-,-,Ehre,E,-,-,rete,-,-,hel,-,-,-,-,へいき,-,tee
ei,,,-,-,-,,seis,-,dei,rei,-,-,-,-,-,-,-,-,seinä
eɪ,\,,play,zee5,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
eu,,,-,eeuw,-,,-,-,Europa,neu,-,-,-,-,-,-,-,-,seurata
ɛu,,,-,-,-,,-,-,-,peu,-,-,-,-,-,-,-,-,-
ɛ,\,,bed,-,Erde,\,-,mettre,ferro,"desprès, cel",это,häll,te,-,-,-,-,ela,-
ɛː,,,-,bij6,Ähre,E,-,mère,bene,-,-,häl,-,-,-,-,-,-,-
ɛi,,,-,bij5,-,,-,-,sei,servei,-,-,-,-,-,-,-,-,-
ɛə,\,,there1,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
æ,@,,cat,leggen,-,,-,-,-,-,пять,herr,xa,-,-,-,-,-,setä
æː,?,,-,-,-,,-,-,-,-,-,här,-,-,-,-,-,-,pää
y,,,-,"duur, luren",Büro,u,-,du,-,-,-,-,-,-,-,-,-,-,yksi
yː,,,-,-,über,U-Y,-,mur,-,-,-,syl,-,-,-,-,-,-,pyy
ʏ,,,-,-,Glück,u,-,chute10,-,-,-,syll,-,-,-,-,-,-,-
ø,,,-,deur,Ökonom,u,-,deux,-,-,-,-,-,-,-,-,-,-,öljy
øː,u-u,,-,-,Höhle,u-H,-,neutre,-,-,-,nöt,-,-,-,-,-,-,insinööri
œ,u-u,,-,hun,Hölle,H-O,-,neuf,-,-,-,nött,-,-,-,-,-,-,-
ɨ,?,,-,-,-,,-,-,-,-,мышь,-,-,-,-,-,-,vinte9,-
ə,A,,"about, winner1","gevaar, avond, een, gevaarlijk",bitte,A,-,de,-,"per, hola",мало,-,-,-,-,-,-,-,-
ɚ,A-R,UNCLEAR,winner2,-,-,,-,soccer11,-,-,-,-,-,-,-,-,-,-,-
ɐ,A,,cut1,-,besser,|,-,-,-,-,большой,-,ăn,-,-,-,-,para9,-
ɜ,A,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
ɜː,A-R,,bird1,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
ɝ,A-R,,bird2,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
a,,,-,"aan, lager",hat,A,algo,"lac, bateau",fatto,pa,маленький,matt,ra,-,άνω,dan,かお,fala,-
aː,|,,last1,-,Bahn,|,-,page,fato,-,-,-,-,-,-,-,おかあさん,-,-
aɪ,Δ,,fight,aai,sein,Δ,vainilla,fête11,-,mai,-,-,-,-,-,-,-,-,-
ʉ,,,-,-,-,,-,-,-,-,чуть,-,-,-,-,-,-,-,-
ʉː,,,-,-,-,,-,-,-,-,-,ful,-,-,-,-,-,-,-
ɵ,,,-,-,-,,-,-,-,-,тётя,full,-,-,-,-,-,-,-
ɯ,,,-,-,-,,-,-,-,-,-,-,như,으,-,-,すじ7,-,-
ɯː,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,すうじ7,-,-
ɤ,,,-,-,-,,-,-,-,-,-,-,hơn,어,-,-,-,-,-
ʌ,A,,run,hut,-,,-,-,-,-,-,-,ân,-,-,-,-,-,-
ʌː,,,-,zout6,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
ʌu,,,-,"nauw, zout5",-,,-,-,-,-,-,-,câu,-,-,-,-,-,-
ɑ,,,-,lat,-,,-,"âne, fâcher",-,-,палка,-,-,-,-,-,-,-,talo
ɑː,"|,ö",UNCLEAR,"arm, law2",-,-,,-,pâte,-,-,-,mat,-,-,-,-,-,-,saari
au,,,-,-,-,,auto,-,pausa,-,-,-,cao,-,-,-,-,-,-
aʊ,Å,,now,-,auf,Å,-,-,-,pau,-,-,-,-,-,-,-,-,-
u,u,,do,hoed,kulant,u,tú,goût,museo,suc,муж,-,thu,-,μου,-,-,tu,tuli
uː,U,,soon,-,Kuh,u-H,-,rouge,musica,-,-,bot,-,-,-,-,-,-,uuni
ʊ,u,,put,-,Mutter,u,-,trousse10,-,-,мужчина,bott,trung,-,-,-,-,-,-
o,,,-,"zo, oor",Motiv,O,yo,beau,uomo,"dóna, gos",вошь,-,cô,-,πάνω,-,ぼたん,todo,koti
oː,,,-,-,Boot,U,-,jaune,dove,-,-,mål,-,-,-,-,ぼうりょく,-,moottori
ɔ,,,-,zot,trocknen,ö,-,botte,otto,"dona, roc",-,moll,có,-,-,-,-,mola,-
ɔː,ö,,"saw, sore1, caught1",-,-,,-,or,uomo,-,-,-,-,-,-,-,-,-,-
əʊ,O,,go1,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
oʊ,O,,go2,-,-,,-,jaune11,-,pou,-,-,-,-,-,-,-,-,-
ɔʊ,,,-,-,-,,-,-,-,bou,-,-,-,-,-,-,-,-,-
ɔɪ,ö-Y,,"coil, boiler",boiler,Eule,ö-Y,-,-,-,noi,-,-,-,-,-,-,-,-,-
oɪ,,,-,-,-,,doy,-,-,coi,-,-,-,-,-,-,-,-,-
ɪə,e-Y-R,UNCLEAR,here1,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
ɒ,ö,,"not1, cough",-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
